usage_date,tenant_id,service,resource_type,region,quantity,unit,tags_json
2026-09-01,tenant_alpha,compute,vm.standard,us-west-2,142.5,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-01,tenant_alpha,storage,object.standard,us-west-2,890.0,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-01,tenant_beta,compute,vm.standard,us-west-2,64.0,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-01,tenant_beta,network,egress,us-west-2,310.2,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-01,tenant_gamma,compute,vm.gpu,us-east-1,18.0,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-01,tenant_gamma,storage,object.standard,us-east-1,120.5,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-02,tenant_alpha,compute,vm.standard,us-west-2,150.1,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-02,tenant_alpha,storage,object.standard,us-west-2,895.5,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-02,tenant_alpha,network,egress,us-west-2,45.0,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-02,tenant_beta,compute,vm.standard,us-west-2,70.4,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-02,tenant_beta,network,egress,us-west-2,298.7,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-02,tenant_gamma,compute,vm.gpu,us-east-1,22.5,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-02,tenant_gamma,storage,object.standard,us-east-1,124.0,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-03,tenant_alpha,compute,vm.standard,us-west-2,138.9,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-03,tenant_alpha,storage,object.standard,us-west-2,902.3,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-03,tenant_beta,compute,vm.standard,us-west-2,66.8,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-03,tenant_beta,network,egress,us-west-2,340.5,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-03,tenant_gamma,compute,vm.gpu,us-east-1,26.0,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-03,tenant_gamma,storage,object.standard,us-east-1,131.2,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-04,tenant_alpha,compute,vm.standard,us-west-2,145.0,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-04,tenant_alpha,storage,object.standard,us-west-2,910.0,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-04,tenant_beta,compute,vm.standard,us-west-2,72.1,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-04,tenant_beta,network,egress,us-west-2,285.0,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-04,tenant_gamma,compute,vm.gpu,us-east-1,30.5,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-04,tenant_gamma,storage,object.standard,us-east-1,138.7,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-05,tenant_alpha,compute,vm.standard,us-west-2,151.2,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-05,tenant_alpha,storage,object.standard,us-west-2,918.4,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-09-05,tenant_beta,compute,vm.standard,us-west-2,68.0,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-05,tenant_beta,network,egress,us-west-2,352.9,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-09-05,tenant_gamma,compute,vm.gpu,us-east-1,34.0,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-09-05,tenant_gamma,storage,object.standard,us-east-1,142.1,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-15,tenant_alpha,compute,vm.standard,us-west-2,138.0,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-15,tenant_alpha,storage,object.standard,us-west-2,845.0,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-15,tenant_beta,compute,vm.standard,us-west-2,63.5,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-15,tenant_beta,network,egress,us-west-2,148.0,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-15,tenant_gamma,compute,vm.gpu,us-east-1,14.0,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-15,tenant_gamma,storage,object.standard,us-east-1,98.0,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-16,tenant_alpha,compute,vm.standard,us-west-2,141.2,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-16,tenant_alpha,storage,object.standard,us-west-2,848.9,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-16,tenant_beta,compute,vm.standard,us-west-2,64.8,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-16,tenant_beta,network,egress,us-west-2,151.3,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-16,tenant_gamma,compute,vm.gpu,us-east-1,15.2,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-16,tenant_gamma,storage,object.standard,us-east-1,101.4,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-17,tenant_alpha,compute,vm.standard,us-west-2,136.7,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-17,tenant_alpha,storage,object.standard,us-west-2,852.1,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-17,tenant_beta,compute,vm.standard,us-west-2,62.9,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-17,tenant_beta,network,egress,us-west-2,145.6,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
