usage_date,customer_id,model_id,input_tokens,output_tokens,query_count
2026-05-01,cust_a,claude-3-sonnet,600000,200000,1200
2026-05-01,cust_b,claude-3-haiku,300000,100000,800
2026-05-01,cust_c,llama-3-70b,150000,50000,400
2026-05-02,cust_a,claude-3-sonnet,500000,150000,1050
2026-05-02,cust_b,claude-3-haiku,400000,120000,950
2026-05-02,cust_c,llama-3-70b,200000,80000,520
2026-05-03,cust_a,claude-3-sonnet,451112,151608,1098
2026-05-03,cust_b,claude-3-haiku,363440,134099,888
2026-05-03,cust_c,llama-3-70b,221666,72042,465
2026-05-04,cust_a,claude-3-sonnet,476026,146082,1202
2026-05-04,cust_b,claude-3-haiku,319876,126495,953
2026-05-04,cust_c,llama-3-70b,199520,76742,498
2026-05-05,cust_a,claude-3-sonnet,467784,160135,1140
2026-05-05,cust_b,claude-3-haiku,338850,137079,969
2026-05-05,cust_c,llama-3-70b,208131,81763,501
2026-05-06,cust_a,claude-3-sonnet,489527,160365,1024
2026-05-06,cust_b,claude-3-haiku,320549,136092,991
2026-05-06,cust_c,llama-3-70b,184986,88900,508
2026-05-07,cust_a,claude-3-sonnet,547369,173695,1050
2026-05-07,cust_b,claude-3-haiku,300334,141679,890
2026-05-07,cust_c,llama-3-70b,165654,83602,448
2026-05-08,cust_a,claude-3-sonnet,542532,187305,1161
2026-05-08,cust_b,claude-3-haiku,329259,132846,790
2026-05-08,cust_c,llama-3-70b,180193,86355,422
2026-05-09,cust_a,claude-3-sonnet,549777,192288,1208
2026-05-09,cust_b,claude-3-haiku,306167,138427,731
2026-05-09,cust_c,llama-3-70b,201205,78161,458
2026-05-10,cust_a,claude-3-sonnet,529610,206549,1140
2026-05-10,cust_b,claude-3-haiku,311790,141757,755
2026-05-10,cust_c,llama-3-70b,203269,75892,440
2026-05-11,cust_a,claude-3-sonnet,504975,205457,1098
2026-05-11,cust_b,claude-3-haiku,309308,153657,682
2026-05-11,cust_c,llama-3-70b,219356,70466,409
2026-05-12,cust_a,claude-3-sonnet,493522,218237,970
2026-05-12,cust_b,claude-3-haiku,287305,153969,753
2026-05-12,cust_c,llama-3-70b,234558,76893,415
2026-05-13,cust_a,claude-3-sonnet,496128,201254,901
2026-05-13,cust_b,claude-3-haiku,254369,140263,665
2026-05-13,cust_c,llama-3-70b,211421,84894,450
2026-05-14,cust_a,claude-3-sonnet,456707,189737,928
2026-05-14,cust_b,claude-3-haiku,252654,128030,610
2026-05-14,cust_c,llama-3-70b,190052,78063,459
2026-05-15,cust_a,claude-3-sonnet,413809,171397,845
2026-05-15,cust_b,claude-3-haiku,271020,141788,630
2026-05-15,cust_c,llama-3-70b,180912,82343,425
2026-05-16,cust_a,claude-3-sonnet,372038,159126,925
2026-05-16,cust_b,claude-3-haiku,290617,138913,635
2026-05-16,cust_c,llama-3-70b,183535,75315,469
