usage_date,fleet_type,gpu_type,hours_provisioned,hours_used,hourly_rate
2026-05-01,inference,T4,24,18,0.35
2026-05-01,inference,L4,24,20,0.72
2026-05-01,training,A100,8,6,2.49
2026-05-02,inference,T4,24,20,0.35
2026-05-02,inference,L4,24,22,0.72
2026-05-02,training,A100,8,5,2.49
2026-05-03,inference,T4,24,19.8,0.35
2026-05-03,inference,L4,24,20.3,0.72
2026-05-03,training,A100,8,5.6,2.49
2026-05-04,inference,T4,24,18.3,0.35
2026-05-04,inference,L4,24,21.7,0.72
2026-05-04,training,A100,8,6.1,2.49
2026-05-05,inference,T4,24,20.1,0.35
2026-05-05,inference,L4,24,21.4,0.72
2026-05-05,training,A100,8,6.0,2.49
2026-05-06,inference,T4,24,23.0,0.35
2026-05-06,inference,L4,24,23.7,0.72
2026-05-06,training,A100,8,5.9,2.49
2026-05-07,inference,T4,24,24,0.35
2026-05-07,inference,L4,24,24,0.72
2026-05-07,training,A100,8,6.3,2.49
2026-05-08,inference,T4,24,21.9,0.35
2026-05-08,inference,L4,24,21.5,0.72
2026-05-08,training,A100,8,6.2,2.49
2026-05-09,inference,T4,24,21.4,0.35
2026-05-09,inference,L4,24,23.7,0.72
2026-05-09,training,A100,8,6.2,2.49
2026-05-10,inference,T4,24,23.6,0.35
2026-05-10,inference,L4,24,24,0.72
2026-05-10,training,A100,8,5.5,2.49
2026-05-11,inference,T4,24,21.2,0.35
2026-05-11,inference,L4,24,24.0,0.72
2026-05-11,training,A100,8,6.0,2.49
2026-05-12,inference,T4,24,20.1,0.35
2026-05-12,inference,L4,24,24,0.72
2026-05-12,training,A100,8,6.5,2.49
2026-05-13,inference,T4,24,22.3,0.35
2026-05-13,inference,L4,24,23.8,0.72
2026-05-13,training,A100,8,7.0,2.49
2026-05-14,inference,T4,24,21.9,0.35
2026-05-14,inference,L4,24,21.4,0.72
2026-05-14,training,A100,8,6.5,2.49
2026-05-15,inference,T4,24,19.6,0.35
2026-05-15,inference,L4,24,22.8,0.72
2026-05-15,training,A100,8,7.0,2.49
2026-05-16,inference,T4,24,17.9,0.35
2026-05-16,inference,L4,24,22.4,0.72
2026-05-16,training,A100,8,6.1,2.49
