domain_order,domain,kpi_name,definition,target_benchmark,frequency,strategic_objective,is_illustrative,notes
1,Finance,Capital Burn Rate Efficiency (CBRE),Ratio of total monthly capital and operating spend to completed program milestones.,<= 1.0 budget variance ratio,Monthly,Prevent cash burn overruns during high-rate deployment.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
1,Finance,Levelized Cost of Capacity (LCOC),Total discounted life-cycle cost divided by total delivered gigabit bandwidth over asset life.,< $3.50 per Gbps/month,Quarterly,Minimize capital cost per unit of delivered space capacity.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
1,Finance,Orbital Plane Payback Horizon,Months required for net revenue from a specific plane to equal initial manufacture and launch CapEx.,< 36 months,Bi-Annually,Accelerate capital recovery across deployed orbital assets.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
1,Finance,Terminal Subsidization Recovery,Cumulative net ARPU margin contribution minus net hardware manufacturing subsidy.,Payback < 12 months,Monthly,Ensure hardware subsidies are recouped through subscriber margins.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
1,Finance,CapEx Contingency Reserve Buffer,Unallocated cash reserves dedicated to launch delay insurance and supply chain surge costs.,>= 15% of annual CapEx budget,Monthly,Absorb financial shocks from rocket groundings or supplier disruptions.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
1,Finance,Adjusted EBITDA Margin,Net operating earnings before interest taxes depreciation and amortization divided by revenue.,>= 50% at full deployment,Quarterly,Achieve structural operating leverage typical of space infrastructure.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
2,Accounting,Capitalized Space Segment Asset Accuracy,Variance between audited WIP asset balances and verified in-orbit deployed space hardware costs.,0.0% audit discrepancy,Monthly,Ensure accurate capitalization of space segment assets.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
2,Accounting,Standard Terminal COGS Variance,Difference between actual manufacturing spending and target standard production costs (under $400 for Pro).,<= $0.00 adverse variance,Weekly,Maintain cost discipline across customer terminal lines.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
2,Accounting,On-Orbit Asset Impairment Ratio,Value of written-off failed spacecraft relative to total active capitalized constellation value.,< 1.5% of active fleet value,Monthly,Accurately reflect hardware losses and operational depreciation.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
2,Accounting,Decommissioning Reserve Accrual Ratio,Accrued end-of-life disposal liabilities divided by total required controlled de-orbit capital reserves.,100% fully funded ratio,Quarterly,Maintain compliance with FCC disposal financial obligations.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
2,Accounting,ASC 606 Revenue Recognition Variance,Error margin in deferred revenue accounting for multi-year enterprise and telecom backhaul agreements.,0.0% restatement rate,Quarterly,Guarantee accurate financial reporting across enterprise B2B sales.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
2,Accounting,WIP-to-In-Service Capital Transfer Rate,Pace at which manufacturing WIP capital transforms into revenue-generating active orbital assets.,< 45 days post-launch,Per Launch,Minimize idle capital tied up in unverified orbital inventory.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
3,Spacecraft Production,Daily Spacecraft Build Velocity,Total fully integrated spacecraft manufactured per operational 24-hour cycle.,4 to 5 satellites/day,Daily,Maintain production throughput to meet deployment schedules.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure. Cross-checked against this project's own real deployment-capacity mart below.
3,Spacecraft Production,First Pass Yield (FPY),Percentage of spacecraft passing all environmental and payload tests without requiring rework.,>= 98.5%,Daily,Eliminate costly cleanroom rework bottlenecks.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
3,Spacecraft Production,Accelerated Testing Cycle Time,Total hours required to execute thermal vacuum acoustic and RF calibration testing per satellite batch.,< 72 hours per batch,Weekly,Maintain accelerated testing speedups (reducing months to days).,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
3,Spacecraft Production,Kirkland Factory OEE,Combined availability performance rate and quality yield of automated cleanroom assembly robotics.,>= 88%,Weekly,Maximize manufacturing efficiency within the 172k sq ft plant.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
3,Spacecraft Production,Prometheus SoC Integration Yield,Percentage of custom baseband processing boards successfully mated and calibrated without fault.,>= 99.9%,Daily,Prevent assembly holds on high-value processing payloads.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
3,Spacecraft Production,Cleanroom Environmental Compliance,Percentage of operational shifts maintaining strict ISO Class 8 particulate and ESD thresholds.,100% shift compliance,Continuous,Eliminate particulate contamination risks in high-rate assembly lines.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
4,Launch Operations,KSC Payload Processing Velocity,Spacecraft processed krypton-fueled and dispenser-integrated per calendar month.,> 100 satellites/month,Monthly,Match Florida processing volume to launch manifest demand.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
4,Launch Operations,Campaign Integration Cycle Time,Days elapsed from spacecraft arrival at KSC to final payload fairing encapsulation.,< 14 days per mission,Per Launch,Maximize processing throughput across launch pads.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
4,Launch Operations,Multi-Dispenser Mating Yield,Percentage of spacecraft successfully attached to multi-level launch dispensers without mechanical error.,100% flawless mating,Per Launch,Prevent structural or interface mating aborts on dispensers.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
4,Launch Operations,FCC Milestone Compliance Margin,Active orbiting spacecraft count minus regulatory milestone requirements.,Positive satellite buffer,Monthly,Safeguard FCC spectrum operating license validity.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure. Cross-checked against this project's own real milestone-risk mart below.
4,Launch Operations,Launch Provider Concentration Risk,Maximum percentage of launch manifest assigned to a single launch vehicle family.,<= 50% total manifest,Quarterly,Mitigate fleet-wide groundings by diversifying launch vehicles.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
4,Launch Operations,Krypton Fueling Safety Integrity,Zero-leakage compliance rate during high-pressure krypton propellant loading operations.,0.0% anomaly rate,Per Launch,Maintain pad safety and ensure precise orbital insertion fuel.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
5,Logistics & Supply Chain,Everett Hub Inventory Turnover,Annualized component consumption spend divided by average warehouse inventory value.,> 12 turns/year,Monthly,Optimize inventory turnover while supporting production.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
